,description_en
499,"Chemical hazards may occur in foods either from their deliberate use in food production or by accidental contamination from the environment, during processing, or due to the presence of natural toxins. The Canadian Food Inspection Agency's (CFIA) tests foods for pesticides to detect food safety risks and ensure that the food supply meets Canadian standards.

The CFIA tested 3188 samples from a variety of imported and domestic food products for residues of the herbicide, Glyphosate. This was done to see what levels of residues were in these products and to verify that the levels of residues found meet Canadian guidelines. The results obtained from the testing were compared to the limits set by Health Canada.

The results of the survey showed that 70.3% of samples tested did not contain detectable residues of Glyphosate. The overall sample compliance rate to Canadian standards for Glyphosate was found to be 98.7%. None of the samples of fruits and vegetables or children's food products were found to contain residue levels which exceeded limits. Non-compliance data were evaluated by Health Canada and no human health concerns were identified. The CFIA will continue to monitor for the presence of this commonly used herbicide to ensure the safety of the Canadian food supply.

"
779,CIHR Grant and Award Details for the year 2008-09
4458,"Crude birth rate, age-specific and total fertility rates (live births), Canada, provinces and territories"
528,Describes the end-use quality of western Canadian malting barley surveyed from the annual harvest on the Prairies.
3547,"""FluWatch is Canada's national surveillance system that monitors the spread of flu and flu-like illnesses on an on-going basis. The FluWatch program consists of a network of labs, hospitals, doctor's offices and provincial and territorial ministries of health. Program objectives include to: • Detect flu outbreaks across the country as early as possible • Provide timely up-to-date information on flu activity in Canada and abroad to health professionals [and interested Canadians] • Monitor circulating strains of the flu virus (like H1N1) and assess their sensitivity to antiviral medications, [such as Tamiflu and Relenza]. Antivirals, when used by doctors to treat flu, can help reduce the severity of the illness and the recovery time for a patient • Provide information that the World Health Organization can use to make its recommendations on the best vaccine to use for seasonal flu shots."" "
5833,"Key driver in using or developing biotechnologies, by North American Industry Classification System (NAICS) and enterprise size"
10404,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8508,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9908,"Gini coefficients of adjusted market, total and after-tax income, Canada and provinces"
9314,"Two-week disability days, by age group and sex, household population aged 12 years and over, territories"
6930,"Hogs and pigs statistics, inventory number by class and quarter, United States and Canada"
898,"This table outlines rates used by the Canada Revenue Agency to calculate the maximum amount a taxpayer can deduct for registered retirement savings plan (RRSP) and group RRSP contributions, and the yearly employer contribution limits applicable to pooled registered pension plans (PRPP). "
3313,Citation information for peer reviewed scientific and technical articles published in 2015 and authored or co-authored by National Research Council scientists and researchers.
9198,"Births, by economic regions and sex, 2001 Census boundaries"
9555,"Functional health status, by age group and sex, household population aged 12 years and over, Canadian Community Health Survey (CCHS 2.1 and 3.1), Canada, provinces and territories"
6676,"Survey of innovation, selected service industries, novelty of new or significantly improved products and/or processes"
8948,"Non-residential building construction investment, by census metropolitan area (quarterly)"
9066,"Canadian Internet use survey, Internet use, by location of access, Canada, provinces and selected census metropolitan areas (CMAs)"
6939,"Employment Insurance Program (E.I.), beneficiaries receiving regular benefits without reported earnings by province and age group"
5428,"Consumer Price Index, transportation, by province (monthly)"
1817,Logbook data from commercial sea cucumber vessels in the Newfoundland region. Purpose: Resource assessment of commercial sea cucumber populations and yearly fishery performance.
8919,"Average total income of the population 15 years and over by highest certificate, diploma or degree, by province and territory (2006 Census)"
9287,"Self-reported unmet health care needs, by type of service, household population aged 15 and over, Canada and provinces"
7300,"Area, production and farm value of potatoes"
3585,Allows the creation of job advertisements and supporting features. Applicants can apply for positions.
5964,"Estimates of the number of census families for July 1, Canada, provinces and territories"
5592,Telecommunication services price indexes
159,"The “Agri-Environmental Indicator (AEI) - Soil Cover” dataset provides a calculation of the amount of time each year that the soil of Canadian agricultural lands is covered by a crop, crop residues on its surface or snow."
3002,"Stations containing prime movers, electric generators, and auxiliary equipment for converting mechanical, chemical, and/or fission energy into electric energy with an installed capacity of 100 megawatts or more. Mapping Resources implemented as part of the North American Cooperation on Energy Information (NACEI) between the Department of Energy of the United States of America, the Department of Natural Resources of Canada, and the Ministry of Energy of the United Mexican States. The participating Agencies and Institutions shall not be held liable for improper or incorrect use of the data described and/or contained herein. These data and related graphics, if available, are not legal documents and are not intended to be used as such. The information contained in these data is dynamic and may change over time and may differ from other official information. The Agencies and Institutions participants give no warranty, expressed or implied, as to the accuracy, reliability, or completeness of these data.
"
7585,"Canadian Community Health Survey (CCHS 1.1 and 2.1) immigrant profile, by sex, Canada, provinces and territories"
5058,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4123,Established sulphur reserves
124,"Net Farm Income measures the returns to operators of agricultural businesses from the production and marketing of agricultural commodities. Three measures of net farm income at the provincial and national levels - net cash income, realized net income and total net income - are based on integration of production, value and inventories of farm production with expenses and depreciation. "
10285,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
7274,"Leisure-time physical activity, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (June 2003 boundaries) and peer groups"
920,The Tax-Free Savings Account (TFSA) statistics tables present data based on all of the individual records and summary returns sent by financial institutions (issuers) to the CRA for the 2013 tax year. The reports contain three tables. The data in the tables are taken from the tax year which is typically published two years after the tax year ends. 
9226,"Labour force survey estimates (LFS), wages of employees by type of work, National Occupational Classification for Statistics (NOC-S), sex and age group, unadjusted for seasonality"
10103,"Language Highlight Tables, Population by language spoken most often and regularly at home, census subdivisions with 5,000+ population, 2011 census - English version. Provides information highlights by topic via key indicators for various levels of geography."
1912,Green sea urchin catch and biological data (sampled weight and test width) collected by the dockside and at-sea monitoring program of commercial catches in the Estuary and Gulf of St. Lawrence since 1995.
974,An annual publication released on CSA website with the aggregate results of the annual data collection sent out to all Canadian organizations (academic and businesses) involved in the space sector.  
1743,"Aanderaa and Inter Oceans S4 moored current meter (RCM-7, RCM-12, S-4, RDI Sentinel ADCP) data from Newfoundland region . The data consists of U,V,W current velocity components, water temperature, salinity and pressure . As well as station location and deployment information. Purpose: Ocean climate monitoring."
10242,"The Road Network File is a digital representation of Canada's road network, containing information such as street names, types, directions and address ranges. "
9477,"Trusteed pension funds, revenues and expenditures by sector, type of plan and contributory status"
4584,"Survey of innovation and business strategy, employee involvement in decision-making process on task allocation, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
7426,Value of established crude oil reserves
2506,"Database containing all labour market news (hiring, layoff, other event) compiled on a weekly basis and published on Job Bank by the Labour Market and Socio-economic Information Directorate in Ontario Region."
1835,Ring counts generated by reading statoliths. This dataset has links to another dataset. Purpose: Squid population dynamics.
9328,"Labour force survey estimates (LFS), multiple jobholders by National Occupational Classification (NOC), sex and age group"
5671,"Use of quality management practices, by North American Industry Classification System (NAICS) and enterprise size"
3020,"Email requests received from the public, responses and contact person. "
2411,"The Canada Student Loans Program (CSLP) conducts an annual survey to track experience and satisfaction with CSLP service delivery among clients who received service in the six months prior to the survey.
The survey will also fulfill some of the commitments of the CSLP’s Results-based Management Accountability Framework (RMAF).
The research design employed an adapted version of the Common Measurements Tool (CMT) recommended by the Treasury Board Secretariat and replicated, with a few adjustments, the questionnaire used last year (http://www.iccs-isac.org/eng/cmt-about.htm). This year’s survey results were compared, where possible, with those of the 2007 survey."
1595,"Data set contains information on the commercial landings of Atlantic salmon from the Nain fishing region of north Labrador. Data include: name of fisherperson, licence number, area and date fish were caught, weight of fish landed, and sometimes the number of fish caught are also recorded on the files. Data were coded by DFO from commercial purchase slip records issued by the fish plant. Purpose: Information on commercial landings of Atlantic salmon are used directly in assessing the status of stocks and complemented broader geographic information on salmon landings from various Salmon Fishing Areas (SFAs) in Newfoundland and Labrador."
5200,"This table provides statistical information about people in Canada by their demographic, social and economic characteristics as well as provide information about the housing units in which they live."
6460,"Chartered banks, assets excluding investment dealer subsidiaries, average of Wednesdays"
1261,"Polygons denoting concentrations of sea pens, small and large gorgonian corals and sponges on the east coast of Canada have been identified through spatial analysis of research vessel survey by-catch data following an approach used by the Northwest Atlantic Fisheries Organization (NAFO) in the Regulatory Area (NRA) on Flemish Cap and southeast Grand Banks. Kernel density analysis was used to identify high concentrations and the area occupied by successive catch weight thresholds was used to identify aggregations. These analyses were performed for each of the five biogeographic zones of eastern Canada. The largest sea pen fields were found in the Laurentian Channel as it cuts through the Gulf of St. Lawrence, while large gorgonian coral forests were found in the Eastern Arctic and on the northern Labrador continental slope. Large ball-shaped Geodia spp. sponges were located along the continental slopes north of the Grand Banks, while on the Scotian Shelf a unique population of the large barrel-shaped sponge Vazella pourtalesi was identified. The latitude and longitude marking the positions of all tows which form these and other dense aggregations are provided along with the positions of all tows which captured black coral, a non-aggregating taxon which is long-lived and vulnerable to fishing pressures.  These polygons identify sponge grounds from the broader distribution of sponges in the region as sampled by Cosmos gear in the Eastern Arctic biogeographic zone. A 40 kg minimum threshold for the sponge catch was identified as the weight that separated the sponge ground habitat from the broader distribution of sponges with these research vessel tow data and gear type."
9608,"Survey of innovation, logging and manufacturing industries, percentage of plants with research and development services that were supplied from different locations"
5694,"Bank of Canada, assets and liabilities, at month-end"
7552,"Canadian passenger bus and urban transit industries, equipment operated, by North American Industry Classification System (NAICS) and type of vehicle"
9411,"Retail trade, total sales and e-commerce sales, by North American Industry Classification System (NAICS)"
2938,"This data set consists of colour shaded relief images created from digital multibeam bathymetry data collected by the Geological Survey of Canada (Atlantic). Multibeam bathymetry surveys use sonar to map the seafloor. Sound is transmitted toward the seabed in beams formed using an array of piezoelectric transducers and as the vessel moves through the water, the acoustic signals or ""pings"" bounce back off the seabed returning up to the water surface where they are detected by the transducer and recorded on board. Measurement of acoustic velocity variations in the water column permit conversion of  ""ping"" return time to water depth. Compilation and processing of these soundings within a Geographic Information System (GIS) yields a 3-dimensional digital elevation model (DEM) of the seafloor. The individual surveys cover areas of particular interest to the marine geoscientists at the Geological Survey of Canada (Atlantic)."
598,"Qualified people who have been placed into the Express Entry pool of candidates.

Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated."
5387,Principal heights by range or region
4912,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9724,"Survey of innovation, logging and manufacturing industries, percentage of plants with full-time employees who had a university degree or college or technical institute diploma"
1460,Fishery-dependent commercial Pink and Spiny Scallop trawl fishery gridded catch and effort information.
1669,"Length, sex, maturity of capelin caught in experimental bags attached, various locations of Diamond IX midwater trawl. Purpose: Describe selectivity/escapement of capelin from Diamond IX trawl."
4528,"Real domestic product, by industry of origin"
8438,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
2305,"This purpose of this project is to study how food webs influence the transfer of contaminants to the top predator, landlocked Arctic char, in the Northern Contaminants Program's (NCP) ""focal ecosystem"" lakes on Cornwallis Island. Previous studies have shown that mercury and perfluorinated chemicals are carried into Arctic lakes during spring melt and are taken up and concentrated through the food web into char. This research examined food web accumulation of mercury, which has both natural and human sources and undergoes complex transformations in lakes, and of perfluorinated chemicals, which are entirely human-made, arrive solely by atmospheric deposition, and are not transformed in the environment. We built on previous research by contrasting how these two persistent contaminants concentrate through lake food webs and examining factors that affect their levels in char and other organisms in High Arctic lakes. The research focused on lakes in the Resolute Bay area (North, Small, Meretta, Resolute, 9 Mile, Char), because the arctic char and the supporting food webs of these lakes hd already been studied."
4199,"Health behaviour in school-aged children 2002, student response to question: How easy is it to talk to the following persons about things that really bother you?"
8691,"This table provides statistical information about people in Canada by their demographic, social and economic characteristics as well as provide information about the housing units in which they live."
4162,"Historical statistics, urban and rural population"
10756,"The TSB is publishing selected fields from its Aviation Safety Information System (ASIS) so that this information can be used by industry and the public in order to advance transportation safety. The aviation data files allows you to view accidents and incidents that have been reported to the TSB since 1 January 2004. The data provided in the aviation data file is described in the accompanying data dictionary. TSB data is collected according to the mandatory occurrence reporting requirements described in the TSB Regulations. On 1 July 2014, the TSB issued new regulations that changed some reporting requirements. Data prior to this date were collected under the reporting requirements described in the TSB Regulations in effect at that time. This aviation data file will normally be generated on the 15th of each month. Basic information about each new occurrence in the previous month is available by the date of publication. Further factual information is added when available. As this data is pulled from a live database that captures the results of ongoing investigations, historical data is subject to change, with the oldest data being the most stable. Further, as many occurrences are not investigated formally, information recorded on some occurrences may not have been verified. The scope of what is published will evolve as the TSB gains more experience in publishing this type of data."
7877,Number of calves born
8255,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8269,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
2456,"Human Resources and Skills Development Canada (HRSDC) and Citizenship and Immigration Canada (CIC) identified a need to further explore the issue of Foreign Credential Recognition (FCR) with the intention of better understanding the needs of newcomers to Canada and of employers, as well as awareness, perceptions and opinions among the general population. Through a better understanding of the issues at hand the Government of Canada hopes to better enable newcomers, employers, and other stakeholders of interest to work collaboratively to fill shortages in skilled labour and ensure the strength of the Canadian economy.
The research program consisted of three components: a quantitative telephone survey of the general public, qualitative focus group research with newcomers, and qualitative in-depth interviews with employers."
4673,"Spectator sports, sales and service revenue by type of service"
6707,Work absence statistics of full-time employees by sex and North American Industry Classification System (NAICS)
938,List of television program logs submitted by television undertakings. 
5046,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8496,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
597,"Qualified people who have been placed into the Express Entry pool of candidates.

Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated."
6956,"Survey of innovation, selected service industries, percentage of innovative business units involved in cooperative and collaborative arrangements"
3691,"The Department of Public Services and Procurement Canada, in its role as Receiver General for Canada, is responsible for the management and safeguarding of all federal government money. All funds paid to the Government of Canada are held in a central account at the Bank of Canada, known as the Consolidated Revenue Fund (CRF). The Receiver General uses a centralized banking system (Government Banking System or GBS) to record the inflow of funds to the CRF. Using this system, cash balances at the Bank of Canada are reviewed and approved each day by the Receiver General. This dataset entitled “Daily Cash Balances” provides details, extracted from the GBS, of the balance and amounts held at the Bank of Canada. 
Updates will be posted quarterly."
1136,"This dataset contains contact information for government offices that provide consular services to Canadian citizens abroad. The dataset also includes Australian and Swedish offices around the world that, by special agreement, provide consular services to Canadians."
10069,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
9459,"Sales of alcoholic beverages by volume, value and per capita 15 years and over, fiscal years ended March 31"
2848,"This file contains data collected in 1979 during a national drinking survey. These datasets have been converted from their legacy file structures and encoding schemes so they can be used by contemporary computers that are based upon the ASCII character-encoding scheme. Each dataset will require specialized software such as a statistical tool, to interpret and analyze the content in each file. The attached codebook describes the file’s structure and defines the variables contained in each field. Each code book is a compilation of the summary description of the dataset as provided by the creating department.  As such, it is available in English only"
4211,"Survey of innovation, selected service industries, percentage of business units that used programs sponsored by the federal or provincial and/or territorial governments"
4674,"Children's participation in physical activities, in hours per week, by sex, household population aged 6 to 11, Canadian Community Health Survey cycle 2.2, Canada and provinces"
247,"The National Ecological Framework for Canada's ""Land Cover by Ecodistrict” dataset provides land cover information within the ecodistrict framework polygon. It provides landcover codes and their English and French language description as well as information about the percentage of the polygon that the component occupies."
1286,"Surface meteorology, wind stress, skip directional wave spectra, 97 data runs for wind stress. BIO mission 91-055.
PURPOSE: Validation of ocean surface sensors on ER51 satellite. Validation of wave prediction models. Investigate relationship between sea state and winds stress drag coefficient Vs wind speed."
9819,Demand of lubricating oils and greases in natural units
2607,The datasets provide results from the measurement of strontium-90 and cesium-137 in environmental water samples collected near nuclear facilities between 1979 and 2006
3765,"At the end of each fiscal year, financial information is published in the Public Accounts. This dataset provides the full wording of most authorities (budgetary and non‑budgetary) available from previous years, by ministry. "
9984,"Canadian vehicle survey, passenger-kilometres, by type of vehicle and type of fuel"
6262,How often students in selected countries feel lonely
1283,"This database consists of processed SeaWiFS measurements of chlorophyll. SeaWiFS (Sea-viewing Wide Field-of-view Sensor) is the name of the sensor on board the SeaStar polar-orbiting satellite (also called Orbview-2). The SeaWiFS data are obtained from GeoEye (formerly Orbimage, the company which owns the SeaStar) via NASA. There are two SeaWiFS chlorophyll products maintained in the database: SeaWiFS LAC (1 km x 1 km, Local Area Coverage) 1.5 x 1.5 km semi-monthly composites for the North Atlantic from the second half of September 1997 to December 23, 2004. SeaWiFS GAC (4 km x 4 km, Global Area Coverage) 4 km x 4 km weekly composites for the North Atlantic from the second half of September 1997 to the present. For a description of SeaWiFS, see http://oceancolor.gsfc.nasa.gov/SeaWiFS/ This abstract was obtained from the web site identified as the distribution source for the database."
6222,"Census of Agriculture, cattle and calves on census day"
1593,"The dataset includes numbers of salmon observed, by site and River Section for Crabbes River, Middle Barachois Brook, Robinsons River, Fischells Brook, and Flat Bay Brook (Bay St George). The salmon are categorized as small (<63 cm) or large (>63 cm). Sites where salmon are located are described. Dataset are for annual surveys 1996 to 2000. Purpose: Annual status of stocks. Advice on restoration of stocks, and community watershed management."
3320,A listing of all Selection Committees and Evaluation Groups Memberships hosted by NSERC for a specific competition year. The dataset includes the role of members within the committee and the organization of provenance. Selection committees provide quality assessment and funding recommendations on grant and scholarship applications assigned to them by NSERC staff.
6843,"Balance of international payments, financial account"
9229,Value of proven and probable reserves of miscellaneous minerals
7592,"National Household Survey indicator profile, Canada, provinces, territories, health regions (2014 boundaries) and peer groups"
6583,"Production, shipments and stocks of cement"
3404,"The Conditional Release Reviews dataset provides information on the number of reviews conducted by the PBC for a given period. A review contains one or more decisions conducted on the same day for the same offender. Reviews are sorted according to location and review type. Items found in this dataset include, among others, jurisdiction, sentence type, review type, race, gender and offence type."
4894,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
7268,"Census of Agriculture, manure and manure application methods in the year prior to the census"
6832,"Business conditions survey, by economic use groups"
1351,Used to develop a head length to body length correlation. This can be used to find the length frequency of halibut caught.
7084,"Exports, by summary export groups (SEG) and other aggregations, by destination, customs basis not seasonally adjusted"
8052,"Film and video distribution, operating expenses, by North American Industry Classification System (NAICS)"
7033,"Homicide survey, number and rates (per 100,000 population) of homicide victims, by census metropolitan area (CMA)"
7722,"Asthma, by age group and sex, household population aged 12 and over, territories"
1352,"The core of the data in this DB is brand re-sightings from a rigorous annual census of Grey Seals on Sable Island (Eastern Scotian Shelf) between late December and early February, and opportunistic sightings in areas where branded seals have temporarily or permanently migrated, including the Gulf of St. Lawrence, Western Scotian Shelf, Bay of Fundy and Gulf of Maine. Harbour Seal brand re-sight data and ecology data from the active research program from the late 80's to early 90's also included. Monitoring Utility & Uniqueness: This unique database includes 40 years of sightings data from permanently marked individuals of a large, long-lived marine mammal. This data allows for monitoring population size, estimating vital rates, and research on foraging ecology and life history theory. Understanding of the predator-prey interactions of this top marine predator is important for ecosystem based management.
PURPOSE: The re-sightings data and other individual life history data are used to monitor population size, estimate vital rates, and support research on foraging ecology and life history of Grey Seals. Study animal information including lengths, weights and other measurements for various projects on life history and foraging ecology."
7942,"Surveying and mapping services, summary statistics"
